Position,Company_Name,Job_Description,City,Province,Quota,Registered,Acceptance_Percentage,Registration_Start,Registration_End
"Perawat gigi","Rumah Sakit Al Huda Genteng","Seorang Tenaga Profesional Keperawatan yang diberikan wewenang dan tanggung jawab untuk melaksanakan tugas keperawatan dan atau asuhan keperawatan gigi","KAB. BANYUWANGI","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter Umum","Rumah Sakit Al Huda Genteng","diagnosis, penanganan, dan pencegahan berbagai penyakit umum, melakukan tindakan medis dasar seperti penyuntikan dan perawatan luka, serta memberikan rujukan ke dokter spesialis jika diperlukan. Mereka juga bertanggung jawab untuk edukasi kesehatan, pemantauan kondisi kronis seperti diabetes atau hipertensi, dan melakukan pemeriksaan rutin.","KAB. BANYUWANGI","JAWA TIMUR",5,0,500,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter Gigi","Rumah Sakit Al Huda Genteng","bertugas melakukan pemeriksaan, diagnosis, dan perawatan masalah kesehatan gigi dan mulut, seperti penambalan gigi, pembersihan karang gigi, pencabutan, hingga prosedur yang lebih kompleks seperti pembedahan dan perawatan gigi tiruan serta edukasi pasien mengenai cara menjaga kebersihan mulut dan mencegah penyakit gigi.","KAB. BANYUWANGI","JAWA TIMUR",3,0,300,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"PERAWAT GIGI","Rs Bina Sehat Jember","1. sebagai asisten dokter gigi umum yang bertugas di pelayanan poli klinik gigi di instalasi rawat jalan rumah sakit bina sehat jember 
2. sebagai asisten dokter gigi uspesialis yang bertugas di pelayanan poli klinik gigi di instalasi rawat jalan rumah sakit bina sehat jember","KAB. JEMBER","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"analis","Rois Sihab","pengujian sampel, analisis data, pemeliharaan instrumen, serta penyusunan laporan hasil analisis. Analis laboratorium bekerja di berbagai bidang seperti kimia, kesehatan, dan pengujian mutu, memastikan kualitas produk dan mendukung penelitian serta pengembangan melalui analisis yang akurat dan teliti.","KAB. TRENGGALEK","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"DOKTER UMUM","Rs Bina Sehat Jember","Tugas dokter umum di rumah sakit meliputi pemeriksaan awal, diagnosis, dan penanganan masalah kesehatan umum, mulai dari gejala seperti demam dan batuk hingga penyakit kronis seperti diabetes. Mereka juga melakukan tindakan medis dasar, memberikan edukasi kesehatan, meresepkan obat, dan merujuk pasien ke dokter spesialis jika kondisi medisnya memerlukan penanganan lebih lanjut","KAB. JEMBER","JAWA TIMUR",5,0,500,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"DOKTER GIGI","Rs Bina Sehat Jember","Tugas dokter gigi di rumah sakit meliputi pemeriksaan, diagnosis, dan perawatan masalah kesehatan gigi dan mulut, seperti karies, penyakit gusi, infeksi, dan kondisi lain seperti sakit gigi, pencabutan gigi, dan pemasangan gigi palsu. Mereka juga melakukan tindakan preventif seperti pembersihan gigi profesional dan penyuluhan, serta dapat melakukan prosedur darurat atau spesialis seperti ortodonti dan bedah mulut jika memiliki subspesialisasi.","KAB. JEMBER","JAWA TIMUR",3,0,300,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"dokter Umum","Rsia Refa Husada","diagnosis, penanganan, dan pencegahan berbagai penyakit umum, melakukan tindakan medis dasar seperti penyuntikan dan perawatan luka, serta memberikan rujukan ke dokter spesialis jika diperlukan. Mereka juga bertanggung jawab untuk edukasi kesehatan, pemantauan kondisi kronis seperti diabetes atau hipertensi, dan melakukan pemeriksaan rutin","KOTA MALANG","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter Umum","Rumah Sakit Umum Daerah Bhakti Dharma Husada Kota Surabaya","1. Melakukan tugas jaga selama sesuai shift di IGD ;
 2. Melakukan triase saat pesian pertama kali masuk IGD ;
 3. Melakukan anamnesis dan pemeriksaan fisik serta pemeriksaan penunjang  dalam menegakkan diaognosis kerja setiap pasien baru masuk IGD ;
 4. Memberikan tindakan dan terapi sesuai diagnosis sementara yang ditegakkan pada pasien sesuai disiplin ilmu dan kewenangan klinis yang kemudian didokumentasikan dalam rekam medis pasien ;
 5. Melakukan monitoring pasien gawat darurat sampai keadaan pasien stabil untuk dilakukan transfer ke ruang rawat inap dan dirujuk ;
 6. Melakukan konsultasi kepada Dokter Spesialis / DPJP tentang keadaan pasien dan tindakan atau terapi selanjutnya kepada pasien, sesuai disiplin ilmu masing-masing Dokter ahli ;
 7. Menjamin hak pasien dan keluarganya terhadap pelayanan kesehatan yang akan diberikan kepadanya ;
 8. Melaporkan setiap perubahan kondisi pasien yang mendapat observasi khusus di IGD ke DPJP ;
 9. Memberikan pelayanan kedokteran forensic dengan melakukan pemeriksaan luar pada setiap pasien dengan permintaan visum dari kepolisian ;
 lO.Membuat resume medis kepada setiap pasien yang pulang atau meninggal atau yang harus dirujuk dalam rekam medis pasien ;
 11. Membuat surat kematian bagi setiap pasien yang meninggal selama observasi di IGD ;
 12. Melakukan serah terima dengan dokter jaga IGD selanjutnya, tentang kondisi pasien yang masih di observasi di IGD ;
 13.Bekerja sama dengan perawat IGD dalam pemberian pelayanan kesehatan pada pasien IGD ;
 14.Menghadiri undangan rapat dengan unit terkait ;
15. Memberikan penyuluhan kesehatan kepada masyarakat sesuai dengan Surat
 tugas.","KOTA SURABAYA","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Videografer","Manggala Teknologi Nusantara","Melakukan proses pengambilan gambar dan video untuk kebutuhan dokumentasi, promosi, maupun media sosial perusahaan. Mengedit video menjadi hasil akhir yang menarik dan informatif. Bekerja sama dengan tim kreatif untuk memastikan hasil visual sesuai konsep dan tujuan komunikasi perusahaan.","KAB. KEDIRI","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter Umum","Klinik Primer Dokterku","bertugas diagnosis dan penanganan awal masalah kesehatan umum, baik penyakit akut maupun kronis, serta melakukan tindakan medis dasar seperti imunisasi dan perawatan luka. Mereka juga bertugas memberikan saran kesehatan, merujuk pasien ke spesialis jika diperlukan, dan menjaga rekam medis pasien dengan rapi","KAB. JEMBER","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter gigi","Klinik Primer Dokterku","bertugas untuk mendiagnosis, dan perawatan berbagai masalah kesehatan gigi, gusi, dan mulut. Mereka melakukan pemeriksaan rutin, pembersihan, penambalan gigi, pengobatan penyakit gusi, dan perawatan estetika. Dokter gigi juga memberikan edukasi kesehatan mulut kepada pasien dan dapat bekerja sama dengan spesialis lain untuk perawatan yang lebih kompleks","KAB. JEMBER","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Perawat Gigi","Klinik Primer Dokterku","bertugas memberikan pelayanan kesehatan gigi dan mulut, seperti promosi kesehatan, pencegahan penyakit, perawatan dasar (misalnya scaling dan pemolesan), asistensi pada dokter gigi saat tindakan yang lebih kompleks, serta tugas administratif seperti mencatat data pasien dan menyiapkan alat. Mereka juga bertugas untuk mensterilkan peralatan, merujuk pasien darurat ke dokter gigi, dan melakukan edukasi kesehatan gigi kepada pasien.","KAB. JEMBER","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Apoteker","Rumah Sakit Umum Dr. H. Koesnadi Kabupaten Bondowoso","Pendidikan minimal Profesi Apoter, memahami standar pelayanan kefarmasian di RS, memiliki STRA, bersedia mengikuti seluruh ketentuan, jadwal, dan peraturan yang berlaku di RS, memiliki asuransi kesehatan dan kecelakaan selama magang, berkelakuan baik, displin, dan memiliki etika profesi yang baik, memahami standar keselamatan pasien","KAB. BONDOWOSO","JAWA TIMUR",8,0,800,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"ENTERTAINER","Bakti Batu Sejahtera","- MENGUASAI TARI TRADISIONAL DAN MODERN 
- MAMPU MEMBUAT KONSEP ENTERTAIN SHOW DENGAN TEMA TERTENTU 
- MELAKUKAN SUATU PERTUNJUKAN UNTUK PENGUNJUNG 
- DAPAT BEKERJASMA DENGAN TIM DENAGN BAIK","KOTA BATU","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Terapi Wicara","Rumah Sakit Umum Dr. H. Koesnadi Kabupaten Bondowoso","Pendidikan minimal D3 Terapi Wicara, memahami standar pelayanan terapi wicara di RS, memiliki STR, bersedia mengikuti seluruh ketentuan, jadwal, dan peraturan yang berlaku di RS, memiliki asuransi kesehatan dan kecelakaan selama magang, berkelakuan baik, displin, dan memiliki etika profesi yang baik, memahami standar keselamatan pasien","KAB. BONDOWOSO","JAWA TIMUR",3,0,300,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Dokter Umum","Rumah Sakit Umum Dr. H. Koesnadi Kabupaten Bondowoso","Pendidikan minimal Profesi Dokter, memahami standar pelayanan kedokteran di RS, memiliki STR, bersedia mengikuti seluruh ketentuan, jadwal, dan peraturan yang berlaku di RS, memiliki asuransi kesehatan dan kecelakaan selama magang, berkelakuan baik, displin, dan memiliki etika profesi yang baik, memahami standar keselamatan pasien","KAB. BONDOWOSO","JAWA TIMUR",5,0,500,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"RADIOGRAFER (D IV)","Rumah Sakit Umum Dr. H. Koesnadi Kabupaten Bondowoso","Pendidikan minimal D4 Radiografer, memahami standar pelayanan radiologi di RS, memiliki STR, bersedia mengikuti seluruh ketentuan, jadwal, dan peraturan yang berlaku di RS, memiliki asuransi kesehatan dan kecelakaan selama magang, berkelakuan baik, displin, dan memiliki etika profesi yang baik, memahami standar keselamatan pasien","KAB. BONDOWOSO","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"NUTRISIONIS DIETISIEN","Rumah Sakit Umum Dr. H. Koesnadi Kabupaten Bondowoso","Pendidikan minimal PROFESI DIETISIEN, memahami standar pelayanan kefarmasian di RS, memiliki STRA, bersedia mengikuti seluruh ketentuan, jadwal, dan peraturan yang berlaku di RS, memiliki asuransi kesehatan dan kecelakaan selama magang, berkelakuan baik, displin, dan memiliki etika profesi yang baik, memahami standar keselamatan pasien","KAB. BONDOWOSO","JAWA TIMUR",5,0,500,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"PENGEMUDI AMBULANCE","Rumah Sakit Umum Dr. H. Koesnadi Kabupaten Bondowoso","Pendidikan minimal D3 Manajemen,  memiliki SIM B1, bersedia mengikuti seluruh ketentuan, jadwal, dan peraturan yang berlaku di RS, memiliki asuransi kesehatan dan kecelakaan selama magang, berkelakuan baik, displin, dan memiliki etika profesi yang baik, memahami standar keselamatan pasien","KAB. BONDOWOSO","JAWA TIMUR",3,0,300,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"DESIGNER BANGUNAN","Haswa Digdaya Dunia","Menganalisa kebutuhan bangunan wisata kolam renang, Membuat perencanaan bangunan, mendesain bangunan dan fasilitas di dalam kolam renang, menghitung biaya pembangunan","KAB. PASURUAN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Translator Mandarin","Indonesia Evergreen Pasuruan","Membantu proses komunikasi dan penerjemahan antara karyawan lokal dengan karyawan atau pihak eksternal yang menggunakan bahasa Mandarin. Kandidat akan belajar bagaimana mendukung kegiatan operasional, administrasi, maupun teknis dengan penerapan kemampuan bahasa Mandarin di lingkungan kerja profesional.","KAB. PASURUAN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Social Media Specialist","Yuroniyah","Tugas Social Media Specialist adalah mengelola dan memastikan seluruh aktivitas media sosial perusahaan berjalan efektif serta sesuai dengan strategi pemasaran digital yang telah ditetapkan. Pekerjaan ini mencakup perencanaan konten, penjadwalan unggahan, pengawasan kualitas materi publikasi, hingga analisis performa setiap kampanye. Seorang Social Media Specialist juga bertanggung jawab menjaga konsistensi identitas merek, berinteraksi dengan audiens secara profesional, serta menyesuaikan strategi komunikasi berdasarkan tren dan data hasil evaluasi di berbagai platform media sosial.","KAB. BANYUWANGI","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Penata Layanan Operasional","PPI Madiun","Membantu pelayanan komunikasi berbahasa asing, menerjemahkan dokumen sederhana, menyiapkan draft email/layanan bahasa asing, membantu persiapan event kerjasama luar negeri, serta pendampingan tamu asing jika diperlukan.","KOTA MADIUN","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Crew Utility Wahana","Duta Insani Bangun Perkasa","Melakukan perawatan dan perbaikan atas wahana. Melakukan ceklist harian tentang kondisi wahana. Menganalisa kerusakan wahana dan memberikan rekomendasi perbaikan.","KAB. BANYUWANGI","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Penelaah Teknis Kebijakan","API Banyuwangi","Mengembangkan strategi pemasaran yang efektif yang efektif untuk meningkatkan pendapatan PNBP meliputi identifikasi pasar, mengembangkan kampanye pemasaran, dan menganalisis hasil pemasaran","KAB. BANYUWANGI","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Edukasi","Air The Best Langga","1. Menjalin komunikasi dengan siswa dan wali siswa secara efektif
2. Memberikan layanan konsultasi kepada siswa/wali siswa
3. Melakukan pengelolaan tentor dari rekrutmen, pelatihan, pendampingan dan evaluasi
4. Mengelola database siswa, wali siswa dan tentor
5. Memastikan dan melaporkan seluruh kegiatan berjalan sesuai SOP","KOTA PROBOLINGGO","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Edukasi","Air The Best Langga","1. Menjalin komunikasi dengan siswa dan wali siswa secara efektif
2. Memberikan layanan konsultasi kepada siswa/wali siswa
3. Melakukan pengelolaan tentor dari rekrutmen, pelatihan, pendampingan dan evaluasi
4. Mengelola database siswa, wali siswa dan tentor
5. Memastikan dan melaporkan seluruh kegiatan berjalan sesuai SOP","KAB. MADIUN","JAWA TIMUR",8,0,800,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Cashier Staff","Matahari Putra Prima","Melakukan transaksi penjualan, penerimaan uang pembelian barang dan melakukan pengembalian uang sisa pembayaran sekaligus menyerahkan barang kepada pelanggan di loket kasir, serta bertanggung jawab atas uang hasil penjualan agar tidak terjadi selisih atau kesalahan dalam bertransaksi.","KOTA SURABAYA","JAWA TIMUR",4,0,400,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Mandarin Translator Intern","PT. Akui Bird Nest Indonesia","Peran Utama:
Menyediakan dukungan linguistik profesional, baik secara lisan maupun tertulis, untuk memfasilitasi komunikasi yang akurat dan efisien antara tim internal/pihak manajemen dengan mitra atau klien berbahasa Mandarin.

Tanggung Jawab Utama:
1. Melakukan penerjemahan akurat untuk dokumen bisnis resmi, korespondensi email, kontrak, atau materi presentasi dari Bahasa Mandarin ke Bahasa Indonesia/Inggris dan sebaliknya.
2. Mendampingi rapat atau panggilan telepon sebagai penerjemah lisan (interpreter) untuk memastikan pemahaman yang jelas dan lancar antara kedua belah pihak.
3. Membantu penyusunan dan pengarsipan surat-menyurat atau memo internal yang melibatkan komunikasi bilingual, dengan memperhatikan tata bahasa dan etika bisnis yang benar.","KAB. JOMBANG","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"chef","C.v. Bukit Ja'as Permai","memasak menu yang akan disajikan untuk tamu maupun acara yang ada di hotel. memastikan rasa dan penampilan makanan ataupun minuman sudah sesuai standart yang telah ditetapkan hotel.","KAB. TRENGGALEK","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Mentor Digital dan Bisnis","Afbe Cahaya Kreatif","Mentor Digital dan Bisnis akan berperan sebagai narasumber dan pemateri di Lembaga Pelatihan Kerja Afbenesia, serta bagi calon mitra dan klien dalam hal strategi digital dan pengembangan bisnis. Tanggung jawab utama adalah memberikan panduan, pelatihan, dan konsultasi untuk meningkatkan kapabilitas digital serta kematangan bisnis. Ruang lingkup kerja mencakup analisis kebutuhan pelatihan, merancang modul mentoring, memantau perkembangan mitra dan klien, serta memberikan evaluasi dan rekomendasi strategis untuk memastikan pertumbuhan yang berkelanjutan bagi mitra dan klien. Peran ini membutuhkan individu dengan wawasan bisnis dan digital yang luas, serta kemampuan komunikasi dan leadership yang sangat baik. Perusahaan terbuka untuk kandidat yang ulet, mampu bekerja di bawah tekanan, dan memiliki komitmen tinggi. Hal ini tercermin dari kesediaan untuk menjalankan tugas-tugas relevan di luar deskripsi, setia tidak bekerja dan/atau melamar kerja di tempat lain selama periode magang, dan bersedia berada di domisili Jombang untuk mendukung kelancaran operasional perusahaan (transportasi dan akomodasi tidak ditanggung perusahaan maupun Kemnaker). Mampu menyiapkan portofolio untuk diperkenalkan sebagai syarat lolos seleksi.","KAB. JOMBANG","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Banquet","Graha Mangga Abadi","-Bertanggung jawab dalam layanan kegiatan meeting di hall
-Memberikan pelayanan terbaik kepada tamu
-Menjaga kebersihan dan kerapian area acara selama kegiatan berlangsung.
-Menyiapkan ruang acara sesuai permintaan klien (layout meja, kursi, panggung, dekorasi, dll).","KOTA MADIUN","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Asisten Pengasuh Anak (Daycare Assistant) - Putri","Lembaga Pendidikan Islam Al Azhaar Tulungagung","Posisi Asisten Pengasuh Anak (Daycare Assistant) bertanggung jawab membantu kegiatan pengasuhan, pendampingan, dan pengembangan anak-anak di lingkungan penitipan anak (daycare). Peserta magang akan mempelajari penerapan dasar pendidikan anak usia dini, pengelolaan kegiatan harian anak, serta penerapan prinsip keselamatan dan kebersihan dalam pengasuhan.
Kualifikasi : 
- Memiliki minat di bidang pendidikan anak usia dini, psikologi anak, atau layanan pengasuhan.
- Sabar, ramah, dan bertanggung jawab dalam mendampingi anak-anak.
- Mampu bekerja dengan penuh perhatian, disiplin, dan empati.
- Mampu bekerja sama dalam tim dan berkomunikasi dengan baik.
- Menjunjung tinggi nilai keselamatan, kebersihan, dan kasih sayang dalam kegiatan pengasuhan anak.","KAB. TULUNGAGUNG","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Teknisi dan Pengembang Jaringan Komputer","Lembaga Pendidikan Islam Al Azhaar Tulungagung","Posisi Teknisi dan Pengembang Jaringan Komputer memiliki tanggung jawab dalam kegiatan instalasi, konfigurasi, pemeliharaan, dan pengembangan sistem jaringan komputer serta perbaikan komputer di lingkungan kerja. Peserta magang akan mempelajari cara kerja infrastruktur jaringan, troubleshooting koneksi, serta pengelolaan perangkat keras dan lunak pendukung jaringan agar sistem berjalan optimal dan aman.","KAB. TULUNGAGUNG","JAWA TIMUR",2,0,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Guru Farmasi","Lembaga Pendidikan Islam Al Azhaar Tulungagung","Posisi Guru Farmasi (SMK Farmasi) bertanggung jawab dalam melaksanakan kegiatan pembelajaran dan praktik di bidang farmasi klinis dan sosial. Peserta magang akan mempelajari perencanaan, pelaksanaan, serta evaluasi pembelajaran teori dan praktik farmasi, termasuk pengelolaan bahan obat, peracikan, dan pelayanan kefarmasian sesuai dengan standar keselamatan dan etika profesi.","KAB. TULUNGAGUNG","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"dokter","Rsu Anwar Medika","Tugas Utama Dokter Sesuai Standar Kompetensi (SKDI):

Tugas utama dokter umum mencakup pengelolaan masalah kesehatan yang terjadi di tingkat layanan primer, serta menjamin kesinambungan pelayanan yang berorientasi pada individu, keluarga, dan masyarakat.

Melaksanakan Anamnesis dan Pemeriksaan Fisik:

Melaksanakan anamnesis (wawancara medis) yang komprehensif kepada pasien untuk mencari keluhan, riwayat penyakit, dan informasi klinis lainnya.

Melakukan pemeriksaan fisik umum dan pemeriksaan sistematis lainnya untuk menegakkan diagnosis.

Menegakkan Diagnosis dan Tatalaksana Medis:

Menginterpretasi hasil pemeriksaan penunjang sederhana (misalnya, tes urine, tes darah sederhana).

Mengusulkan dan merujuk pasien untuk tes penunjang lain yang lebih kompleks (Rontgen, CT Scan, dll.).

Menetapkan diagnosis klinik terhadap penyakit dan kondisi yang dialami pasien.

Meresepkan obat-obatan berdasarkan penyakit yang diderita pasien dan sesuai kewenangannya.

Melakukan tindakan medis dan perawatan luka sesuai kompetensi.

Melakukan Upaya Kesehatan Preventif dan Promotif:

Memberikan edukasi atau konseling pemeliharaan kesehatan dan pola hidup sehat kepada pasien dan keluarga.

Memberikan pelayanan imunisasi sesuai program yang berlaku.

Melaksanakan pelayanan Keluarga Berencana (KB).

Mengumpulkan data dalam rangka pengamatan epidemiologi penyakit di wilayah kerjanya.

Melaksanakan Pertolongan Gawat Darurat dan Kedaruratan Medik:

Memberikan pertolongan dan penanganan pertama kecelakaan serta kasus gawat darurat (resusitasi, stabilisasi, dsb.) di fasilitas kesehatan (seperti IGD) atau di lapangan.

Melaksanakan tugas jaga (piket) di tempat/rumah sakit sesuai jadwal dinas.

Melakukan Manajemen Pelayanan dan Administrasi:

Membuat catatan medik pasien (rawat jalan maupun rawat inap) secara lengkap dan akurat.

Melayani atau menerima konsultasi medis dari pasien, keluarga, atau tenaga kesehatan lain.

Melakukan Visum et Repertum tingkat sederhana hingga sedang (sesuai kewenangan).

Melaksanakan Tanggung Jawab Hukum dan Etika Profesi:

Merujuk pasien ke dokter spesialis atau fasilitas yang lebih tinggi jika diperlukan.

Melaksanakan praktik kedokteran dengan berbudi luhur, berpegang teguh pada etika profesi, dan selalu menerapkan prinsip komprehensif dan bermutu.","KAB. SIDOARJO","JAWA TIMUR",5,0,500,"2025-11-06 00:00:00","2025-11-14 23:59:59"
